Estacion;Porc_datos;pct_nulos;Celda_XY;Conteo_celda;Nombre_Est;Depto;Mpio;AH; Z_SZH;x;y
26170270;18;82;(2 - 5);17;MARGARITA LA ;Caldas; Risaralda ; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4698916,116;2125864,289
26170290;68;32;(3 - 5);11;RIOSUCIO ;Caldas; Riosucio; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4697551,26;2158110,136
26170350;3;98;(3 - 6);20;FLECHA LA ;Caldas; Marmato ; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4710162,389;2162687,874
26175010;3;98;(3 - 6);20;RIOSUCIO ;Caldas; Riosucio; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4700908,722;2159041,491
26175020;15;86;(3 - 5);11;Inst. Los Fundadores;Caldas; Riosucio; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4699061,115;2159049,767
26175030;84;17;(3 - 6);20;NACIONAL GRANJA LA ;Antioquia; T·mesis ; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4702059,109;2190452,164
26175040;76;24;(3 - 6);20;TUNEZ HACIENDA ;Antioquia; Fredonia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4706527,548;2199603,32
26175050;8;92;(3 - 6);20;RIOSUCIO ;Caldas; Riosucio; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4700908,722;2159041,491
26180130;2;98;(3 - 6);20;PINTADA LA ;Caldas; Aguadas ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4712148,824;2194019,32
26180160;96;4;(3 - 6);20;ABEJORRAL ;Antioquia; Abejorral ; Magdalena Cauca ; rÌo Arma ;4730952,206;2197914,706
26180170;96;4;(4 - 6);19;UNION LA ;Antioquia; La UniÛn; Magdalena Cauca ; rÌo Arma ;4736482,975;2221377,66
26180180;99;1;(3 - 6);20;SONSON ;Antioquia; SonsÛn ; Magdalena Cauca ; rÌo Arma ;4745974,992;2190031,317
26180190;96;4;(3 - 6);20;AGUADAS ;Caldas; Aguadas ; Magdalena Cauca ; Rio Tapias y otros directos al Cauca ;4728563,395;2177359,772
26180200;97;3;(4 - 6);19;MONTEBELLO ;Antioquia; Montebello ; Magdalena Cauca ; rÌo Arma ;4719247,16;2216200,592
26180220;77;24;(3 - 6);20;LA PINTADA ALERTAS ;Antioquia; La Pintada ; Magdalena Cauca ; rÌo FrÌo y Otros Directos al Cauca ;4712139,85;2191806,846
26180240;50;50;(3 - 6);20;PAVAS LAS ;Caldas; Aguadas ; Magdalena Cauca ; rÌo Arma ;4734988,842;2168725,401
26180250;39;62;(2 - 6);13;Valle Alto Aut;Caldas; Salamina; Magdalena Cauca ; rÌo Arma ;4743238,899;2149650,297
26180260;32;69;(3 - 6);20;La Miranda;Caldas; Salamina; Magdalena Cauca ; rÌo Arma ;4741519,679;2158190,507
26185010;50;51;(3 - 6);20;PELADA LA ;Caldas; Aguadas ; Magdalena Cauca ; rÌo Arma ;4740344,863;2174958,525
26185020;98;3;(4 - 6);19;MESOPOTAMIA ;Antioquia; La UniÛn; Magdalena Cauca ; rÌo Arma ;4743378,572;2208964,61
26185040;94;7;(3 - 6);20;SAN FELIX ;Caldas; Salamina; Magdalena Cauca ; rÌo Arma ;4736869,216;2152212,86
26190080;3;98;(3 - 5);11;Betania Volga;Antioquia; Betania ; Magdalena Cauca ; rÌo San Juan ;4669645,31;2188694,304
26190090;99;2;(3 - 5);11;Betania las Guacas;Antioquia; Betania ; Magdalena Cauca ; rÌo San Juan ;4670541,704;2194775,254
26190100;96;4;(3 - 5);11;SANTA BARBARA ;Antioquia; Andes ; Magdalena Cauca ; rÌo San Juan ;4678796,661;2173597,589
26190120;35;66;(3 - 5);11;CAMPAMENTO ;Antioquia; Andes ; Magdalena Cauca ; rÌo San Juan ;4681576,361;2186568,437
26190130;5;95;(3 - 5);11;La Mansa;ChocÛ; El Carmen; Caribe ; DariÈn Alto Atrato;4656743,795;2194295,381
26195020;95;5;(3 - 5);11;ITA ANDES ;Antioquia; Andes ; Magdalena Cauca ; rÌo San Juan ;4681067,584;2187640,464
26195030;49;52;(3 - 5);11;El JardÌn;Antioquia; JardÌn; Magdalena Cauca ; rÌo San Juan ;4689841,338;2176171,718
26200120;97;3;(4 - 5);12;OTRAMINA ;Antioquia; TitiribÌ ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4690769,451;2229847,24
26200130;80;21;(4 - 5);12;BOLOMBOLO ;Antioquia; Venecia; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4685680,646;2218484,496
26200140;86;15;(4 - 5);12;ARMENIA ;Antioquia; Armenia; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4693371,108;2239240,369
26200150;88;13;(4 - 6);19;FREDONIA ;Antioquia; Fredonia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4702817,937;2214720,369
26205030;5;96;(3 - 6);20;FARALLONES ;Antioquia; La Pintada ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4710319,292;2197714,485
26205040;3;98;(5 - 5);18;IGUINA HACIENDA ;Antioquia; Anz· ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4682963,1;2262384,941
26205060;11;89;(5 - 5);18;NOQUE LA ;Antioquia; Anz· ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4686672,741;2266052,317
26205070;18;83;(4 - 5);12;PLATA LA ;Antioquia; Venecia; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4688272,697;2219946,275
26205080;59;41;(5 - 6);14;La Aldea;Antioquia; MedellÌn ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4701289,895;2259452,937
26210070;94;6;(5 - 5);18;CAICEDO ;Antioquia; Caicedo ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4670301,833;2266805,823
26210080;95;5;(4 - 5);12;HERRADURA LA ;Antioquia; Concordia; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4681993,106;2232800,538
26210090;98;2;(5 - 5);18;ANZA ;Antioquia; Anz· ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4683745,179;2255352,18
26210110;97;3;(4 - 5);12;PENALISA ;Antioquia; Salgar ; Magdalena Cauca ; rÌo San Juan ;4683315,977;2214615,243
26210130;88;13;(5 - 5);18;GUASABRA ;Antioquia; Santa Fe De Antioquia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4673180,718;2277561,978
